# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Sat May 23 04:18:18 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 7.17600 0.2744399905 1.8986925757    0.274 -1.467  3.4786  4.210    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.5e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.438 13.971 12.700 11.272 9.883 8.202 6.494 5.883 5.580
0.0152 0.01508 7.17600 0.3000000119 1.9529139769    0.300 -1.409  3.4852  4.217    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.04e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.294 13.681 12.419 10.989 9.639 8.012 6.366 5.748 5.453
0.0152 0.01508 7.17600 0.3295765519 2.0086147339    0.330 -1.351  3.4919  4.226    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.61e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.147 13.396 12.139 10.710 9.398 7.822 6.235 5.611 5.325
0.0152 0.01508 7.17600 0.3500000238 2.0434175133    0.350 -1.313  3.4963  4.232    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.01e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.052 13.215 11.962 10.541 9.252 7.702 6.150 5.519 5.239
0.0152 0.01508 7.17600 0.3620150089 2.0626815670    0.362 -1.292  3.4986  4.235    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.23e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.001 13.119 11.867 10.450 9.174 7.638 6.104 5.470 5.193
0.0152 0.01508 7.17600 0.4000000358 2.1185024810    0.400 -1.229  3.5057  4.244    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.97e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.843 12.836 11.586 10.181 8.940 7.444 5.962 5.320 5.051
0.0152 0.01508 7.17600 0.4378296733 2.1676351158    0.438 -1.173  3.5126  4.254    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.64e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.702 12.582 11.330 9.933 8.726 7.270 5.837 5.186 4.926
0.0152 0.01508 7.17600 0.4500000477 2.1822809714    0.450 -1.155  3.5147  4.257    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.86e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.658 12.505 11.252 9.857 8.660 7.217 5.799 5.144 4.886
0.0152 0.01508 7.17600 0.4771335721 2.2131558558    0.477 -1.119  3.5194  4.265    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.568 12.344 11.086 9.695 8.519 7.106 5.720 5.059 4.806
0.0152 0.01508 7.17600 0.5000000000 2.2374541529    0.500 -1.089  3.5233  4.271    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.492 12.215 10.951 9.562 8.403 7.014 5.654 4.988 4.739
0.0152 0.01508 7.17600 0.5124624968 2.2499428012    0.512 -1.074  3.5255  4.275    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.454 12.147 10.879 9.491 8.342 6.967 5.622 4.954 4.707
0.0152 0.01508 7.17600 0.5384365320 2.2738475157    0.538 -1.041  3.5298  4.281    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.372 12.007 10.732 9.347 8.216 6.869 5.551 4.878 4.634
0.0152 0.01508 7.17600 0.5500000119 2.2836582633    0.550 -1.028  3.5314  4.284    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.339 11.954 10.676 9.291 8.167 6.830 5.523 4.847 4.606
0.0152 0.01508 7.17600 0.5819644928 2.3084604029    0.582 -0.989  3.5369  4.292    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.243 11.790 10.501 9.120 8.018 6.715 5.441 4.759 4.523
0.0152 0.01508 7.17600 0.6000000238 2.3211213258    0.600 -0.967  3.5397  4.294    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.187 11.699 10.403 9.026 7.935 6.649 5.392 4.707 4.473
0.0152 0.01508 7.17600 0.6173980832 2.3325321417    0.617 -0.947  3.5431  4.300    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.137 11.610 10.306 8.929 7.851 6.588 5.351 4.662 4.432
0.0152 0.01508 7.17600 0.6499999762 2.3520353107    0.650 -0.908  3.5490  4.306    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.039 11.447 10.128 8.753 7.696 6.472 5.268 4.573 4.349
0.0152 0.01508 7.17600 0.6627818346 2.3590822727    0.663 -0.890  3.5521  4.310    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.996 11.371 10.044 8.669 7.622 6.421 5.234 4.536 4.315
0.0152 0.01508 7.17600 0.7000000477 2.3779267258    0.700 -0.840  3.5604  4.316    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.869 11.160 9.807 8.433 7.413 6.272 5.130 4.423 4.211
0.0152 0.01508 7.17600 0.7500000000 2.3998889087    0.750 -0.668  3.6208  4.417    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.441 10.105 8.634 7.348 6.481 5.749 4.855 4.142 4.012
0.0152 0.01508 7.17600 0.7822558880 2.4123566919    0.782 -0.632  3.6251  4.416    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.08e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.350 9.954 8.485 7.216 6.361 5.655 4.774 4.067 3.943
0.0152 0.01508 7.17600 0.8000000119 2.4187244405    0.800 -0.608  3.6277  4.411    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.19e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.289 9.857 8.389 7.130 6.282 5.591 4.720 4.015 3.895
0.0152 0.01508 7.17600 0.8500000238 2.4350346840    0.850 -0.543  3.6359  4.406    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.48e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.127 9.555 8.114 6.891 6.068 5.425 4.580 3.886 3.776
0.0152 0.01508 7.17600 0.8545488119 2.4364099813    0.854 -0.536  3.6368  4.405    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.51e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.111 9.523 8.086 6.867 6.047 5.409 4.567 3.874 3.765
0.0152 0.01508 7.17600 0.9000000358 2.4492786175    0.899 -0.470  3.6465  4.400    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.85e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.944 9.155 7.787 6.612 5.824 5.235 4.427 3.755 3.656
0.0152 0.01508 7.17600 0.9096168280 2.4518125509    0.909 -0.456  3.6487  4.399    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.909 9.072 7.723 6.557 5.777 5.198 4.398 3.732 3.635
0.0152 0.01508 7.17600 0.9500000477 2.4618122009    0.950 -0.384  3.6595  4.389    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.42e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.729 8.623 7.394 6.282 5.545 5.009 4.249 3.620 3.529
0.0152 0.01508 7.17600 1.0000000000 2.4729154477    1.000 -0.291  3.6746  4.379    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.16e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.496 8.035 6.973 5.935 5.259 4.766 4.062 3.482 3.400
0.0152 0.01508 7.17600 1.0443589687 2.4817494481    1.044 -0.199  3.6897  4.366    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.76e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.268 7.480 6.577 5.607 4.989 4.532 3.880 3.349 3.274
0.0152 0.01508 7.17600 1.0499999523 2.4828114860    1.050 -0.187  3.6917  4.364    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.86e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.236 7.406 6.524 5.564 4.953 4.500 3.856 3.331 3.257
0.0152 0.01508 7.17600 1.0830390453 2.4887771862    1.082 -0.113  3.7037  4.352    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.45e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.052 6.979 6.224 5.314 4.746 4.317 3.713 3.224 3.155
0.0152 0.01508 7.17600 1.1000000238 2.4916801480    1.099 -0.073  3.7101  4.345    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.82e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.953 6.758 6.068 5.184 4.636 4.219 3.636 3.166 3.100
0.0152 0.01508 7.17600 1.1021338701 2.4920380975    1.101 -0.068  3.7109  4.344    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.86e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.940 6.731 6.049 5.168 4.623 4.207 3.627 3.159 3.093
0.0152 0.01508 7.17600 1.1330941916 2.4970577003    1.132  0.009  3.7227  4.326    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.66e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 4.748 6.326 5.760 4.926 4.416 4.021 3.479 3.043 2.983
0.0152 0.01508 7.17600 1.1499999762 2.4996678137    1.149  0.053  3.7294  4.315    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -7.2e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 4.638 6.103 5.599 4.791 4.299 3.915 3.394 2.976 2.918
