x,y,B_johnson,V_johnson,R_Johnson,BV,VR
149.4,5.4,14.159118498490052,14.924556275178414,14.159118498490052,-0.765437776688362,0.765437776688362
678.6,6.6,13.414889708301748,13.977730626261604,13.414889708301748,-0.5628409179598552,0.5628409179598552
798.0,8.0,12.465189251109166,13.111904626138784,12.465189251109166,-0.6467153750296184,0.6467153750296184
1050.2,9.3,12.574612788750116,13.363499785117064,12.574612788750116,-0.7888869963669478,0.7888869963669478
1069.9,16.6,11.653717849038443,12.09252702432702,11.653717849038443,-0.43880917528857744,0.43880917528857744
1046.0,21.7,13.211323559904988,13.42493383863269,13.211323559904988,-0.21361027872770144,0.21361027872770144
222.1,19.2,15.719092664348466,15.59181230015772,15.719092664348466,0.12728036419074584,-0.12728036419074584
377.1,20.6,16.569332032504384,16.491572779761345,16.569332032504384,0.0777592527430393,-0.0777592527430393
197.8,26.9,11.738154540861954,12.319767905685596,11.738154540861954,-0.5816133648236423,0.5816133648236423
417.7,24.4,14.894020193416129,15.531963783173156,14.894020193416129,-0.6379435897570271,0.6379435897570271
725.3,30.8,11.09000908959034,11.695944011595136,11.09000908959034,-0.6059349220047956,0.6059349220047956
255.6,29.9,15.057709463903963,15.839048379011787,15.057709463903963,-0.781338915107824,0.781338915107824
452.4,33.9,14.200934596060923,14.796994156103256,14.200934596060923,-0.5960595600423328,0.5960595600423328
392.1,41.0,13.91148773443975,14.87787468851776,13.91148773443975,-0.9663869540780112,0.9663869540780112
678.2,42.0,13.340737446235533,14.013504475116992,13.340737446235533,-0.6727670288814593,0.6727670288814593
988.4,42.1,13.555580228551165,14.2400141854214,13.555580228551165,-0.6844339568702349,0.6844339568702349
883.0,48.4,13.93973287808809,14.378302817845416,13.93973287808809,-0.4385699397573255,0.4385699397573255
611.0,51.4,14.816725229052825,16.08422699073051,14.816725229052825,-1.2675017616776856,1.2675017616776856
1032.9,58.5,10.248788303415433,10.895577497971228,10.248788303415433,-0.6467891945557955,0.6467891945557955
861.3,61.8,12.066764155710729,12.41529741780198,12.066764155710729,-0.34853326209125157,0.34853326209125157
223.0,61.4,12.472521583281958,13.195318284970703,12.472521583281958,-0.7227967016887451,0.7227967016887451
361.8,66.4,14.44148396098215,15.29906337368981,14.44148396098215,-0.8575794127076595,0.8575794127076595
612.1,66.6,14.992491284128596,16.266415023782784,14.992491284128596,-1.2739237396541885,1.2739237396541885
609.4,83.5,12.501280968943195,12.864618044079965,12.501280968943195,-0.36333707513676927,0.36333707513676927
509.4,84.8,13.555269653765436,14.594176352954785,13.555269653765436,-1.038906699189349,1.038906699189349
560.1,90.5,10.222433396703185,10.440138295945571,10.222433396703185,-0.21770489924238667,0.21770489924238667
275.2,85.5,13.9716290494068,14.554396762175957,13.9716290494068,-0.5827677127691562,0.5827677127691562
527.6,87.3,15.994214446106174,18.225895395904452,15.994214446106174,-2.231680949798278,2.231680949798278
1072.5,91.2,11.602847575679208,12.255104062402074,11.602847575679208,-0.652256486722866,0.652256486722866
128.0,92.8,12.61259788298566,13.420496578382377,12.61259788298566,-0.807898695396716,0.807898695396716
206.7,94.6,13.602206058646814,14.196273386199932,13.602206058646814,-0.5940673275531179,0.5940673275531179
