ra,dec,x_v,y_v,B_mag,V_mag,R_mag,B-V,V-R,BV_0,V_0,MV,Mass
122.7276748224684,-48.86011012797628,229.2695589355336,1.0254573551247228,10.103855036910996,9.815909328006436,9.603882426422349,0.2879457089045605,0.2120269015840872,0.22794570890455984,9.629909328006436,1.5099093280064366,2.5646196407220065
122.6983439166534,-48.869032458989714,261.5422361392467,0.6344195712605811,13.801779034872334,13.93622154246052,13.301806424383688,-0.1344425075881865,0.6344151180768325,-0.1944425075881859,13.75022154246052,5.6302215424605215,0.8066516773673756
122.55024423582763,-48.91526379408348,425.18905759200993,0.484664798433205,14.340301886333856,14.394119699677518,13.84032927584521,-0.0538178133436613,0.5537904238323073,-0.11381781334366357,14.208119699677518,6.088119699677518,0.7567325971704985
122.53361405565464,-48.92056214365014,443.6264781548598,0.6363054979456847,14.484324722762771,14.444182482952575,13.984352112274124,0.040142239810196,0.4598303706784516,-0.019857760189803467,14.258182482952575,6.138182482952576,0.7524415014612078
122.41133971702456,-48.96126551107666,580.2676497174692,4.284373366902248,15.38954020579915,15.331465832504623,14.889567595310504,0.0580743732945272,0.4418982371941187,-0.0019256267054704873,15.145465832504623,7.025465832504624,0.6763886429281751
121.971242868111,-49.105702610540035,1069.9325633868075,16.57249572459093,12.153611811215704,12.406772864896642,11.653639200727058,-0.2531610536809374,0.7531336641695834,-0.31316105368093516,12.220772864896642,4.100772864896642,1.3121618716077188
122.64886192943209,-48.89416403245857,322.546081631952,13.820717219946117,13.404091818771462,13.600811008331137,12.904119208282818,-0.1967191895596745,0.6966918000483187,-0.25671918955967576,13.414811008331137,5.294811008331138,0.8866928275573422
122.7752753790215,-48.85692921438497,184.27588874670215,17.16423708732491,13.170138165555066,13.381871539783065,12.67016555506642,-0.2117333742279985,0.7117059847166445,-0.2717333742279979,13.195871539783065,5.075871539783066,0.9389397461881321
122.85788828759392,-48.836530979313885,96.4494515992239,24.87067667298412,11.680288333473976,11.74861686076224,11.180315722985329,-0.0683285272882638,0.5683011377769116,-0.12832852728826388,11.56261686076224,3.442616860762241,1.501640697608391
122.21037032665248,-49.03638588078347,809.9266676874572,22.102026437758283,16.146099562832962,16.2363843836135,15.646126952344316,-0.0902848207805391,0.5902574312691851,-0.15028482078053654,16.0503843836135,7.930384383613502,0.596188054789911
