ra,dec,x_v,y_v,B_mag,V_mag,R_mag,B-V,V-R
122.8836970859146,-48.81190096391898,57.02698333466314,2.3089374348514284,13.607291312550489,13.932803490634406,13.107318702061844,-0.3255121780839172,0.8254847885725614
122.72767482246839,-48.86011012797628,229.2695589355336,1.0254573551247228,10.103855036910996,9.815909328006436,9.603882426422349,0.2879457089045605,0.2120269015840872
122.6983439166534,-48.869032458989714,261.5422361392467,0.6344195712605811,13.801779034872334,13.93622154246052,13.301806424383688,-0.13444250758818654,0.6344151180768325
122.55024423582763,-48.91526379408348,425.18905759200993,0.484664798433205,14.340301886333856,14.394119699677518,13.84032927584521,-0.053817813343661314,0.5537904238323073
122.53361405565465,-48.92056214365014,443.6264781548598,0.6363054979456847,14.484324722762771,14.444182482952575,13.984352112274124,0.040142239810196045,0.45983037067845167
122.21780023245951,-49.01923884875619,792.1892170661542,1.6847462839322158,13.656669482051043,14.002668922405816,13.156696871562398,-0.34599944035477215,0.8459720508434181
122.41133971702455,-48.96126551107666,580.2676497174692,4.284373366902248,15.38954020579915,15.331465832504623,14.889567595310504,0.05807437329452725,0.4418982371941187
121.971242868111,-49.105702610540035,1069.9325633868075,16.57249572459093,12.153611811215704,12.406772864896642,11.653639200727058,-0.25316105368093744,0.7531336641695834
122.64886192943209,-48.89416403245857,322.546081631952,13.820717219946117,13.404091818771462,13.600811008331137,12.904119208282818,-0.1967191895596745,0.6966918000483187
122.7752753790215,-48.85692921438497,184.27588874670215,17.16423708732491,13.170138165555066,13.381871539783065,12.67016555506642,-0.21173337422799854,0.7117059847166445
122.85788828759391,-48.836530979313885,96.4494515992239,24.87067667298412,11.680288333473976,11.74861686076224,11.180315722985329,-0.06832852728826388,0.5683011377769116
122.21037032665248,-49.03638588078347,809.9266676874572,22.102026437758283,16.146099562832962,16.2363843836135,15.646126952344316,-0.09028482078053912,0.5902574312691851
122.6646367279245,-48.899016306831754,311.4909405974934,27.242612098746537,13.70407643425604,13.994563797553296,13.204103823767396,-0.290487363297256,0.7904599737859002
122.09247908114227,-49.08126655564435,945.0172994678306,33.9897830508773,13.605508702973005,14.05404323152417,13.10553609248436,-0.44853452855116593,0.9485071390398101
122.85542898927277,-48.844672109699935,104.00426510150128,34.95353650621989,13.997612619937662,14.457566673207712,13.497640009449016,-0.45995405327004946,0.9599266637586954
122.26529727329132,-49.03075955461317,756.8021804036695,37.640666659260965,13.635208331458816,14.112219268760343,13.135235720970169,-0.477010937301527,0.9769835477901747
122.42237719707867,-48.987484332002566,587.299347490883,44.97319125526318,14.672785801809932,15.016469087714617,14.172813191321286,-0.3436832859046852,0.8436558963933312
