ra,dec,x_v,y_v,B_mag,V_mag,R_mag,B-V,V-R,V_0,B_0,R_0,B-V_0,V-R_0,SS_Blue_0,SS_Green_0,SS_Red_0,SS_BG_0
122.8836970859146,-48.81190096391898,57.02698333466314,2.3089374348514284,13.607291312550489,13.932803490634406,13.107318702061844,-0.3255121780839172,0.8254847885725614,13.746803490634406,13.361291312550488,12.967818702061845,-0.3855121780839172,0.7789847885725614,13.614163984743357,13.78378934310028,13.143615659776357,-0.16962535835692272
122.7276748224684,-48.86011012797628,229.2695589355336,1.0254573551247228,10.103855036910996,9.815909328006436,9.603882426422349,0.2879457089045605,0.2120269015840872,9.629909328006436,9.857855036910996,9.464382426422349,0.2279457089045605,0.16552690158408723,9.724249240301123,9.623953128383116,9.517487806739165,0.10029611191800747
122.6983439166534,-48.869032458989714,261.5422361392467,0.6344195712605811,13.801779034872334,13.93622154246052,13.301806424383688,-0.1344425075881865,0.6344151180768325,13.75022154246052,13.555779034872334,13.162306424383688,-0.1944425075881865,0.5879151180768325,13.68827781465289,13.773832517991693,13.299889447999055,-0.08555470333880244
122.55024423582763,-48.91526379408348,425.18905759200993,0.484664798433205,14.340301886333856,14.394119699677518,13.84032927584521,-0.0538178133436613,0.5537904238323073,14.208119699677518,14.094301886333856,13.70082927584521,-0.1138178133436613,0.5072904238323073,14.176007108740363,14.226086946611574,13.822287360611671,-0.05007983787121084
122.53361405565464,-48.92056214365014,443.6264781548598,0.6363054979456847,14.484324722762771,14.444182482952575,13.984352112274124,0.040142239810196,0.4598303706784516,14.258182482952575,14.238324722762771,13.844852112274124,-0.019857760189804,0.41333037067845163,14.260835111682347,14.269572526165861,13.947518186409814,-0.008737414483514172
122.21780023245952,-49.01923884875619,792.1892170661542,1.6847462839322158,13.656669482051043,14.002668922405816,13.156696871562398,-0.3459994403547721,0.8459720508434181,13.816668922405816,13.410669482051043,13.017196871562398,-0.4059994403547721,0.7994720508434181,13.67644912947455,13.85508888323065,13.197091281731081,-0.17863975375609975
122.41133971702456,-48.96126551107666,580.2676497174692,4.284373366902248,15.38954020579915,15.331465832504623,14.889567595310504,0.0580743732945272,0.4418982371941187,15.145465832504623,15.14354020579915,14.750067595310504,-0.001925626705472798,0.3953982371941187,15.154753350623597,15.155600626374007,14.849147242749329,-0.0008472757504094375
121.971242868111,-49.105702610540035,1069.9325633868075,16.57249572459093,12.153611811215704,12.406772864896642,11.653639200727058,-0.2531610536809374,0.7531336641695834,12.220772864896642,11.907611811215704,11.514139200727058,-0.3131610536809374,0.7066336641695834,12.114903275034694,12.252694138654308,11.675465933560975,-0.1377908636196139
122.64886192943209,-48.89416403245857,322.546081631952,13.820717219946117,13.404091818771462,13.600811008331137,12.904119208282818,-0.1967191895596745,0.6966918000483187,13.414811008331137,13.158091818771462,12.764619208282818,-0.2567191895596745,0.6501918000483187,13.329824908194057,13.442781351600313,12.914657568292482,-0.11295644340625621
122.7752753790215,-48.85692921438497,184.27588874670215,17.16423708732491,13.170138165555066,13.381871539783065,12.67016555506642,-0.2117333742279985,0.7117059847166445,13.195871539783065,12.924138165555066,12.53066555506642,-0.2717333742279985,0.6652059847166445,13.105330191318705,13.224892875979025,12.68370675200975,-0.11956268466031972
122.85788828759392,-48.836530979313885,96.4494515992239,24.87067667298412,11.680288333473976,11.74861686076224,11.180315722985329,-0.0683285272882638,0.5683011377769116,11.56261686076224,11.434288333473976,11.040815722985329,-0.1283285272882638,0.5218011377769116,11.525135305665582,11.581599857672419,11.16517595054071,-0.056464552006836755
122.21037032665248,-49.03638588078347,809.9266676874572,22.102026437758283,16.146099562832962,16.2363843836135,15.646126952344316,-0.0902848207805391,0.5902574312691851,16.0503843836135,15.900099562832962,15.506626952344316,-0.1502848207805391,0.5437574312691851,16.004778999924703,16.07090432106814,15.635378438598153,-0.0661253211434385
122.6646367279245,-48.899016306831754,311.4909405974934,27.242612098746537,13.70407643425604,13.994563797553296,13.204103823767396,-0.290487363297256,0.7904599737859002,13.808563797553296,13.45807643425604,13.064603823767396,-0.350487363297256,0.7439599737859002,13.68888347313331,13.843097912984103,13.233395818524576,-0.15421443985079186
122.09247908114229,-49.08126655564435,945.0172994678306,33.9897830508773,13.605508702973005,14.05404323152417,13.10553609248436,-0.4485345285511659,0.94850713903981,13.86804323152417,13.359508702973004,12.96603609248436,-0.5085345285511659,0.90200713903981,13.689885455960239,13.913640648522753,13.166437520292321,-0.22375519256251408
122.85542898927277,-48.844672109699935,104.00426510150128,34.95353650621989,13.997612619937662,14.457566673207712,13.497640009449016,-0.4599540532700494,0.9599266637586954,14.271566673207712,13.751612619937662,13.358140009449016,-0.5199540532700494,0.9134266637586954,14.089183673497793,14.317963456936615,13.560825342200754,-0.22877978343882255
122.26529727329132,-49.03075955461317,756.8021804036695,37.640666659260965,13.635208331458816,14.112219268760343,13.135235720970169,-0.477010937301527,0.9769835477901748,13.926219268760343,13.389208331458816,12.995735720970169,-0.537010937301527,0.9304835477901748,13.737525221958778,13.97381003437145,13.201832430528203,-0.23628481241267174
122.42237719707867,-48.987484332002566,587.299347490883,44.97319125526318,14.672785801809932,15.016469087714617,14.172813191321286,-0.3436832859046852,0.8436558963933312,14.830469087714617,14.426785801809931,14.033313191321286,-0.4036832859046852,0.7971558963933312,14.691106271929883,14.868726917727944,14.212744370599951,-0.17762064579806136
