x,y,raw_flux,Red,R_mag
4.927158519008853,1.6445959159596963,423.0420716843233,15.592093933813146,15.492693933813147
56.952530040029245,2.350409738141945,3806.5685310610943,13.206718702061842,13.107318702061843
229.25319954102287,0.988306199644731,95919.77761871654,9.703282426422348,9.603882426422349
261.4585954124917,0.8031335149180743,3182.281279927893,13.401206424383687,13.301806424383688
407.3938607351737,4.421757024390935,2807.337121324131,13.537316413555605,13.437916413555605
425.3617591041677,0.5210627657844816,1937.8913466480365,13.93972927584521,13.84032927584521
443.6821438441237,0.49752042298636684,1697.150236084585,14.083752112274123,13.984352112274124
487.58951289455234,0.3531516276029936,164.17069954137708,16.61981371260715,16.52041371260715
792.053424552379,1.5339765953837232,3637.327324676461,13.256096871562397,13.156696871562398
880.1683513191706,0.7050250865595729,163.74791790753522,16.622613368109988,16.52321336810999
985.1705259525775,0.37278208691601533,398.12796983494127,15.65799611119535,15.558596111195351
179.63222841263118,1.9240072210702168,687.1262578482474,15.065461471994613,14.966061471994614
580.2684978498977,4.2735992397150415,737.282788553764,14.988967595310504,14.889567595310504
149.3935589454698,5.356877206584542,1449.5207842324542,14.254991717095095,14.155591717095096
678.567307625526,6.626026125665899,2866.784097127411,13.51456536785085,13.41516536785085
798.540512395523,7.920736818654402,6861.010758533435,12.56708258364569,12.46768258364569
916.889427605674,4.473197039201569,378.2699187747488,15.713548318997914,15.614148318997914
926.1661439119526,4.3987324985692045,641.5886053316576,15.139911228877654,15.040511228877655
176.03109785928498,5.675952068706611,422.36289225589155,15.593838446526163,15.494438446526164
304.97716262701215,6.5585830600434925,1591.8231713928328,14.153315778909693,14.053915778909694
498.8477161809026,6.4514915164330695,113.49619150916581,17.02059961312238,16.92119961312238
1050.2852505687258,9.471403846594189,6239.453585705009,12.670186438432061,12.570786438432062
513.504537717458,8.797352836892939,605.4751687954298,15.20281199210029,15.103411992100291
851.4928562686728,9.553375707499299,1462.55958637726,14.245268912530156,14.145868912530156
331.57365613526326,10.051488163056508,973.9172849230491,14.686747650249643,14.587347650249644
408.77885318797155,10.876043915273785,3056.647510637524,13.444939436389964,13.345539436389965
420.6075560151871,11.6886436241167,718.4189907190303,15.017108324545774,14.917708324545774
948.0956538969667,12.76995455033748,1164.4464634117821,14.492754018952873,14.393354018952873
463.43472734652454,13.518207906572403,8226.731942448041,12.369984467957105,12.270584467957105
807.2702526173086,11.418231123393893,1878.0824808923323,13.973766180660975,13.874366180660976
322.66147342070997,13.813517748113814,4590.00808453655,13.003519208282817,12.904119208282818
833.753715360583,13.978986312212914,2342.633207083887,13.733792096557426,13.634392096557427
996.0147476643696,14.616728143140294,7379.871829017578,12.487930786429473,12.388530786429474
1069.8618027068078,16.600094882100592,14521.298520750985,11.753039200727057,11.653639200727058
263.75295700325074,14.56630903210609,550.0923455272571,15.306963829888478,15.207563829888478
523.9914599730436,13.549425270616268,951.8379974721723,14.711645239747,14.612245239747
599.2859031587524,17.795142169537975,7208.282539729448,12.513473331608228,12.414073331608229
610.4148390023473,14.772228922324873,421.60971070261724,15.59577632151256,15.49637632151256
662.4917000847852,15.688656386693065,1081.5868379208564,14.572899350471019,14.47349935047102
40.07306047774897,16.10819265312584,769.5142636626288,14.942511148735868,14.843111148735868
184.07160251106276,17.31632972832771,5693.70434268928,12.769565555066418,12.670165555066419
248.82954433649178,15.307599672124557,869.6844497000328,14.809648572501672,14.710248572501673
283.13367324603934,15.3122367070394,416.76995606355126,15.608311824014608,15.508911824014609
407.01170888230786,16.597998185193024,1538.6601650873235,14.190196058649585,14.090796058649586
290.0185631580773,16.150067173298297,388.35265275772514,15.684987144277393,15.585587144277394
700.3177078616739,18.901027116169754,2519.525954540826,13.654755743126302,13.555355743126302
513.7385737168744,19.30692494540682,1315.600040196184,14.360243139271986,14.260843139271987
222.3478588751483,19.31101403707944,359.69049585420464,15.768230428086298,15.668830428086299
303.3545547004993,21.25653725636115,1523.960268080179,14.20061872335774,14.101218723357741
1046.0560774231542,21.67100226618434,3453.964229997092,13.312258245454435,13.212858245454436
96.48675090208731,24.88054454526252,22456.126421957437,11.279715722985328,11.180315722985329
377.29793499834534,21.01568246952288,144.37863545809807,16.75929550216867,16.65989550216867
672.1238807980284,22.6742386109586,306.2324530746329,15.942924801253834,15.843524801253835
809.9965217342676,21.899741194655203,367.29105599550905,15.745526952344315,15.646126952344316
148.86548246144147,23.25107986919572,990.5980824934021,14.66830912701947,14.56890912701947
