ra,dec,x_v,y_v,B_mag,V_mag,R_mag,B-V,V-R
122.62576107920759,-48.455339031738525,56.88300974947605,2.218945861129181,14.269258097544888,13.657626200855775,13.1067397056211,0.6116318966891132,0.5508864952346748
122.47056781958598,-48.503283024138895,229.19481832282943,0.9529506424099196,10.155188771597627,9.7871354025911,9.60389481706376,0.3680533690065282,0.18324058552734002
122.44157497741081,-48.51214482930989,261.3100606511762,0.6315179270844277,14.275083114319695,13.671494623604737,13.302298482695829,0.6035884907149587,0.3691961409089082
122.29422404333613,-48.55816130880259,425.095855213448,0.561906259688695,14.731956157983342,14.189017163575972,13.840731817335897,0.5429389944073701,0.34828534624007546
122.27779617116803,-48.563364985995385,443.39624819529496,0.677956090894653,14.780627902328014,14.404414099399409,13.984901689306422,0.3762138029286053,0.41951241009298634
122.23806554274589,-48.57545100580154,487.32728613368545,0.2918785339030813,16.13305734220491,16.045034564702465,16.48965701161458,0.08802277750244514,-0.4446224469121134
121.96382173199059,-48.66133562904293,791.92325760133,1.7424104788450492,14.346676760496596,13.664440899315606,13.153247883963877,0.68223586118099,0.5111930153517292
122.54413915949213,-48.48339494590829,149.37311268079512,5.398407662343293,15.927555591872723,14.924556275178414,14.159118498490052,1.002999316694309,0.765437776688362
122.15597903987755,-48.60378230717261,580.2312737868316,4.200290118042376,15.66623624667942,14.935652462741816,14.888871239360055,0.7305837839376039,0.046781223381760384
121.85201998707892,-48.69725696150354,916.5632017486168,3.953901138290637,16.76897768403802,15.994227736068174,15.693976793981026,0.7747499479698465,0.300250942087148
122.40421547535034,-48.52785776296334,305.47123158887035,6.133788752754421,16.525531916028697,15.170716907566918,14.044055313763106,1.3548150084617792,1.1266615938038118
122.0682776579443,-48.63268824265566,678.5656857300405,6.631560784189234,14.933763527196714,13.977730626261604,13.414889708301748,0.9560329009351101,0.5628409179598552
121.96100116080383,-48.66675020762048,797.9562453729554,8.002875962807739,14.132762288289603,13.111904626138784,12.465189251109166,1.020857662150819,0.6467153750296184
122.52027175008305,-48.49103717922678,176.04490491706423,5.579648493991489,17.397209549888533,16.32177919103465,15.49495247370998,1.0754303588538825,0.8268267173246713
122.23012884593376,-48.5823122440758,498.9719924235767,6.330293695489637,17.149309160499318,16.919341898304438,16.856587254531508,0.2299672621948794,0.06275464377293005
121.7332486420988,-48.7373917004867,1050.1521373306114,9.260788432601874,14.507559650784906,13.363499785117064,12.574612788750116,1.1440598656678418,0.7888869963669478
122.21608434567173,-48.58796531095794,515.3884475050913,8.100658610828717,16.006720659151206,15.941021650996316,15.033046352644284,0.06569900815489049,0.9079752983520315
121.91341971291529,-48.68226521523646,851.15088964423,9.235034289485078,15.810240400568244,14.756878499631847,14.156398906732852,1.0533619009363964,0.6004795928989957
122.39202045466584,-48.53729937163624,322.6794306912346,13.85716960462126,13.938803661994315,13.334925078416935,12.903749967024288,0.6038785835773801,0.43117511139264764
122.26503890680273,-48.576588938000526,463.5387754468071,13.390616623390978,14.101761126889135,12.997962508274057,12.274066566515552,1.1037986186150786,0.7238959417585047
121.82830410513338,-48.710351587678296,946.486928227562,11.994999771676452,16.011242297161104,14.913385434272994,14.40485752811606,1.0978568628881096,0.5085279061569352
121.78454948194812,-48.72567567853856,996.0433518493492,14.683938166367298,14.319641534022702,13.123545848045152,12.388606287549909,1.19609568597755,0.7349395604952438
122.21086955776553,-48.593692000237255,523.8234449635328,13.745838615177952,15.590127528197344,14.935341091400206,14.602789899814931,0.6547864367971385,0.33255119158527435
121.93127900518991,-48.679992858092746,833.4588894457651,13.658170041969012,15.47512631504358,14.273364807625502,13.640722795710198,1.2017615074180785,0.6326420119153031
121.7183686959161,-48.74722687593218,1069.940201072989,16.571691621218314,12.745604633478868,12.09252702432702,11.653717849038443,0.6530776091518469,0.43880917528857744
122.51800661202229,-48.50026050034466,184.10446773887517,17.25680463392631,13.72056549650143,13.100173745874974,12.669784506982948,0.6203917506264567,0.43038923889202607
122.44576434474253,-48.521039479207964,263.2760306020273,14.643944272069165,18.08240631853027,15.689468338306831,15.204046715080038,2.39293798022344,0.4854216232267934
122.13314756368995,-48.61837382936193,610.3833338018437,14.539157425316052,17.016984403586747,15.589229069224608,15.381736252382195,1.4277553343621392,0.2074928168424126
122.14456456892084,-48.61719362753695,599.2446125580036,17.779239740688855,14.279446671987142,13.060798907792806,12.41412352421806,1.2186477641943352,0.6466753835747472
122.05323255592569,-48.6459274320247,700.7477625843763,18.45629117160504,15.244808206235396,14.253132348279404,13.54215647055709,0.9916758579559914,0.7109758777223139
122.22245305199536,-48.59414632276949,513.5865392246562,19.317393087472745,15.48786876323677,14.70864321644639,14.26828417196655,0.7792255467903804,0.4403590444798393
121.7422550090632,-48.74366946462388,1045.9588431383186,21.701269602977753,13.861612487039531,13.42493383863269,13.211323559904988,0.4366786484068417,0.21361027872770144
122.48470068536905,-48.512172721867444,222.12391180275685,19.242250256255225,17.249727043017646,15.59181230015772,15.719092664348466,1.6579147428599263,-0.12728036419074584
122.34593616204845,-48.55657833517741,377.0602315942833,20.55104919002051,17.871336567898098,16.491572779761345,16.569332032504384,1.3797637881367528,-0.0777592527430393
122.59997060133686,-48.480010127977806,96.41835662939437,24.88591936279704,12.087710080245204,11.523436943102972,11.180324338270845,0.5642731371422318,0.34311260483212713
122.33173731934569,-48.56256740559783,393.8431345824825,22.68902168668009,16.75290263624677,15.670396530436394,14.83429066471023,1.082506105810376,0.8361058657261644
121.9565642907958,-48.67834751139391,809.417875938114,22.092296909315696,16.605804158433983,16.02573182383011,15.654601068523736,0.580072334603873,0.37113075530637474
122.55299602388291,-48.49426735032399,148.40143732766785,24.13753510940697,16.589176515769786,16.03575117746501,14.526923221008458,0.5534253383047769,1.5088279564565514
122.50984677787996,-48.50986286332468,197.76708734267137,26.91228467428458,13.28386727632206,12.319767905685596,11.738154540861954,0.9640993706364629,0.5816133648236423
122.47468462881557,-48.519380801983644,235.91185006303505,24.819118685774548,17.370461915438884,15.050965091846324,14.92768188858365,2.3194968235925604,0.12328320326267317
122.40776927372075,-48.54207479047217,311.46110508270556,27.180970225197832,14.334607454473796,13.751795801255744,13.200356559477155,0.5828116532180516,0.5514392417785885
122.31101202275246,-48.57027272426358,417.6663780929166,24.39246957971776,16.87394139420608,15.531963783173156,14.894020193416129,1.3419776110329256,0.6379435897570271
122.0362198375816,-48.660116334374074,725.3220449195447,30.75898151929811,12.67424070216602,11.695944011595136,11.09000908959034,0.9782966905708843,0.6059349220047956
121.83832847435228,-48.71744350992678,941.8993209603392,25.99338153023225,15.080744311147315,14.143137339417487,13.71827972357542,0.9376069717298279,0.4248576158420665
121.77107363677858,-48.740223365649605,1017.5648941259705,29.06689332872915,14.808484471103617,14.278869374572537,13.432275031818886,0.5296150965310797,0.8465943427536509
122.27598708238195,-48.58542291137818,459.29483758967734,30.213697700520985,15.783324196854837,14.696458652145946,13.995857649150736,1.0868655447088909,0.7006010029952101
121.80697519698539,-48.730095832942034,978.4734109653372,30.21774972724571,16.200466039616746,15.899001076084687,14.544926276633008,0.30146496353205876,1.3540747994516789
121.83858066792631,-48.72311198667934,945.2883089981004,33.91035322539831,14.395464769661457,13.648369415791109,13.106112555240484,0.747095353870348,0.5422568605506246
122.67065501297328,-48.46412687919049,21.815468315045475,33.7173709488087,15.351177081239314,14.77427565446285,14.104495616950958,0.5769014267764643,0.6697800375118916
122.59741333736764,-48.487996040735204,103.94923644277556,34.73111930397246,14.775120234306266,14.127344516395455,13.51074498704592,0.647775717910811,0.6165995293495357
122.28375353887114,-48.585658465739826,452.3886864097871,33.8605047693416,16.02035389270702,14.796994156103256,14.200934596060923,1.223359736603765,0.5960595600423328
121.97413087945476,-48.68272401099064,796.2537720953966,35.55555653662893,15.059402586105234,13.693780061318623,12.806247705679272,1.3656225247866107,0.8875323556393511
122.01059178144615,-48.672958526080265,756.8551528875812,37.56243528955088,14.450346718849577,13.555368055821386,13.133890197305316,0.8949786630281906,0.4214778585160701
122.57630152773932,-48.49555658321326,128.06162707873207,35.97360583535425,16.387076015346153,15.178653878761567,14.568348847174867,1.208422136584586,0.6103050315866998
122.62673222897897,-48.48229892877882,73.59185336630232,39.60344652370503,15.612653424367805,14.5491587257799,13.875325089463004,1.0634946985879044,0.6738336363168962
122.32644956812298,-48.576222142517885,407.4854747595837,39.179520259145875,15.282672566062326,14.297270111152582,13.594398863392485,0.9854024549097442,0.7028712477600969
121.88407069577417,-48.71206807468098,896.8871332662244,37.88576231956677,15.610933102479878,15.008378084023922,14.727591770352465,0.6025550184559556,0.2807863136714577
122.31621373927617,-48.58141955016374,420.14960699740425,41.93399406247425,12.661665239635736,12.085823241658025,11.740577051073291,0.5758419979777116,0.34524619058473327
122.546353463017,-48.50867441489949,163.81869899967504,41.03222999292342,16.703758049869883,16.22828966729097,15.174579580727157,0.47546838257891366,1.0537100865638127
122.34109620886264,-48.57297075393813,392.071545076886,40.991027982373566,15.748907055017634,14.87787468851776,13.91148773443975,0.8710323664998736,0.9663869540780112
122.08353176705177,-48.653647162877405,678.1676766475599,41.950994855024305,15.049284918438502,14.013504475116992,13.340737446235533,1.03578044332151,0.6727670288814593
121.80296010118698,-48.73993577771461,988.3979157192427,42.08856584634146,14.89820418830056,14.2400141854214,13.555580228551165,0.6581900028791612,0.6844339568702349
122.10668955360413,-48.64749373993759,653.166784460456,43.33179326938445,15.443979867433365,14.620720502491748,13.900657477889736,0.8232593649416167,0.7200630246020125
121.99841925146177,-48.68282165734095,774.2427292084353,45.97904779159182,13.124340861665129,11.960672027159466,11.156560748492346,1.1636688345056623,0.8041112786671203
122.09175970494576,-48.65321304394158,670.4115455097348,44.851085603666654,15.323969425388904,14.529046809244456,14.025631719809612,0.7949226161444489,0.5034150894348439
121.90102084931891,-48.71449399409216,883.0333314657281,48.38479278304365,15.286088416798462,14.378302817845416,13.93973287808809,0.9077855989530459,0.4385699397573255
122.56166212265694,-48.51095133467011,151.39236650220573,50.76475261803451,16.084460229720033,15.57299999262942,14.756741236862188,0.5114602370906134,0.8162587557672314
122.69050450954542,-48.47097523900979,8.255687575769262,51.71004713758233,16.305078299354008,15.342684713675538,14.929881101042003,0.9623935856784698,0.41280361263353527
122.04266386499503,-48.67463172391523,728.7837482490302,53.469165288815155,14.98958300771593,14.37799725298287,13.833543052496854,0.6115857547330599,0.5444542004860171
122.62019480538243,-48.49535254165954,88.04831446937844,54.672205813104526,15.540341237992315,14.855101264897856,14.192612146503844,0.6852399730944594,0.6624891183940118
122.20695591248656,-48.626390076042256,548.4699744407112,57.02506401259385,14.488324512402563,12.883439083703506,12.479724392520222,1.604885428699058,0.40371469118328385
122.03443548318714,-48.67708765397384,737.8367981956003,53.35772671498426,16.158961918298196,14.87386799833748,14.430276821727812,1.2850939199607154,0.44359117660966874
121.99808062420209,-48.68984308628552,779.0525026898667,55.50067664008685,14.419164425567889,13.674075783422657,13.119183120414498,0.7450886421452321,0.5548926630081592
121.76951889588314,-48.762043321983064,1032.8790278087265,58.49191167362412,11.885049894745327,10.895577497971228,10.248788303415433,0.989472396774099,0.6467891945557955
122.65886264897469,-48.48795015679801,48.09060109352735,61.26283263453311,13.88541470799526,12.907166635689563,12.198017318560002,0.9782480723056963,0.7091493171295618
121.98173902525981,-48.6988101862028,799.648499998789,60.92299807329664,12.69462113242623,11.723837071705937,11.10913608049104,0.9707840607202929,0.614700991214896
121.9263267739056,-48.71647171247369,861.3040421875207,61.80015608818296,12.91041834593002,12.41529741780198,12.066764155710729,0.4951209281280402,0.34853326209125157
122.50189742842537,-48.537482073488,222.95175224553145,61.38231509751163,14.28692931691018,13.195318284970703,12.472521583281958,1.0916110319394772,0.7227967016887451
