ra,dec,x_v,y_v,B_mag,V_mag,R_mag,B-V,V-R,B-V_0,V_0,V-R_0
122.4622383963519,-48.50734550263564,239.4067980837336,2.9406144299334014,12.805953425006637,12.252208554565398,12.292994315981057,0.5537448704412391,-0.040785761415659,0.4837448704412391,12.035208554565397,0.008214238584340991
122.10798426751204,-48.61651388507331,632.0650576165172,1.2675086313018795,12.857597917594603,11.564398837604648,11.024687214701506,1.2931990799899555,0.5397116229031411,1.2231990799899555,11.347398837604647,0.588711622903141
122.04768895565684,-48.63888717468957,701.2670482137827,6.413905909750036,14.377226660083783,13.2106620482402,12.729620237566186,1.166564611843583,0.4810418106740144,1.096564611843583,12.9936620482402,0.5300418106740143
122.60997876158632,-48.46555538332989,77.89523784446575,9.394762410233575,13.50510585575935,12.874737579274353,12.619465331191504,0.6303682764849974,0.2552722480828482,0.5603682764849973,12.657737579274352,0.3042722480828482
122.16629787081776,-48.60524886573998,571.7941407328389,10.616284177510378,11.927976540905648,10.920936174595198,10.566167138597788,1.0070403663104504,0.3547690359974105,0.9370403663104503,10.703936174595198,0.4037690359974105
122.52830176184304,-48.491540627509714,169.07251971963044,9.73573714939794,13.809095337635917,13.303972388931737,13.327108768847577,0.5051229487041802,-0.0231363799158401,0.43512294870418017,13.086972388931736,0.025863620084159888
122.2533503614226,-48.5783578841864,475.3073426355399,10.822252084029984,13.706451408030295,12.737758031707688,12.557976223378803,0.9686933763226068,0.1797818083288849,0.8986933763226068,12.520758031707688,0.2287818083288849
121.82375531972134,-48.70791261221604,949.0668326260874,6.7165794004498505,14.95841900737876,13.814172970709004,13.010653508112638,1.144246036669756,0.8035194625963662,1.074246036669756,13.597172970709003,0.8525194625963661
121.79309727173056,-48.72202194289403,985.942361145422,13.246202838877712,11.884760971860343,10.919242555765084,10.642038552951382,0.965518416095259,0.2772040028137024,0.895518416095259,10.702242555765084,0.3262040028137024
121.77126193448504,-48.72771475052624,1009.4245269827596,11.903015716918429,13.86148996827512,12.782126709116604,12.562405032030236,1.0793632591585158,0.2197216770863672,1.0093632591585158,12.565126709116603,0.2687216770863672
122.12302645393804,-48.62078798985231,621.1381540705574,13.549798614044324,12.935812442364426,11.686246301833911,11.1447094887581,1.249566140530515,0.5415368130758118,1.179566140530515,11.46924630183391,0.5905368130758117
122.1580513679642,-48.61286247134593,584.1952929044432,17.57020251299447,11.932597816349736,10.917686125294638,10.56144496584778,1.0149116910550973,0.3562411594468582,0.9449116910550972,10.700686125294638,0.4052411594468582
121.98777262084288,-48.66290993508243,771.1547021150215,14.057331909641572,14.904787012263531,14.291258017005632,13.733250333661044,0.6135289952578997,0.558007683344588,0.5435289952578997,14.074258017005631,0.6070076833445879
