ra,dec,x_v,y_v,B_mag,V_mag,R_mag,B-V,V-R
122.62576107920759,-48.455339031738525,56.88300974947605,2.218945861129181,14.526685708024676,13.657626200855775,13.1067397056211,0.8690595071689007,0.5508864952346748
122.47056781958598,-48.503283024138895,229.19481832282943,0.9529506424099196,10.412616382077418,9.7871354025911,9.60389481706376,0.6254809794863192,0.18324058552734002
122.44157497741081,-48.51214482930989,261.3100606511762,0.6315179270844277,14.532510724799488,13.671494623604737,13.302298482695829,0.8610161011947515,0.3691961409089082
122.29422404333613,-48.55816130880259,425.095855213448,0.561906259688695,14.989383768463131,14.189017163575972,13.840731817335897,0.8003666048871594,0.34828534624007546
122.27779617116803,-48.563364985995385,443.39624819529496,0.677956090894653,15.038055512807803,14.404414099399409,13.984901689306422,0.6336414134083945,0.41951241009298634
122.23806554274589,-48.57545100580154,487.32728613368545,0.2918785339030813,16.390484952684705,16.045034564702465,16.48965701161458,0.3454503879822397,-0.4446224469121134
121.96382173199059,-48.66133562904293,791.92325760133,1.7424104788450492,14.604104370976389,13.664440899315606,13.153247883963877,0.9396634716607828,0.5111930153517292
122.54413915949213,-48.48339494590829,149.37311268079512,5.398407662343293,16.184983202352512,14.924556275178414,14.159118498490052,1.2604269271740982,0.765437776688362
122.15597903987755,-48.60378230717261,580.2312737868316,4.200290118042376,15.923663857159209,14.935652462741816,14.888871239360055,0.9880113944173932,0.046781223381760384
121.85201998707892,-48.69725696150354,916.5632017486168,3.953901138290637,17.02640529451782,15.994227736068174,15.693976793981026,1.0321775584496446,0.300250942087148
122.40421547535034,-48.52785776296334,305.47123158887035,6.133788752754421,16.782959526508492,15.170716907566918,14.044055313763106,1.6122426189415737,1.1266615938038118
122.0682776579443,-48.63268824265566,678.5656857300405,6.631560784189234,15.191191137676508,13.977730626261604,13.414889708301748,1.2134605114149046,0.5628409179598552
121.96100116080383,-48.66675020762048,797.9562453729554,8.002875962807739,14.390189898769393,13.111904626138784,12.465189251109166,1.2782852726306082,0.6467153750296184
122.52027175008305,-48.49103717922678,176.04490491706423,5.579648493991489,17.65463716036833,16.32177919103465,15.49495247370998,1.3328579693336806,0.8268267173246713
