x,y,raw_flux,red_mag,R_mag
239.46811294795427,2.799366549723335,12681.778686508693,12.392394315981054,12.292994315981055
632.1662183036756,1.3602245914813451,40785.23888978646,11.124087214701506,11.024687214701506
765.046885903577,1.90396265001212,2214.8024099780296,14.287007272253135,14.187607272253135
792.8280346869842,1.8575341697560248,46252.90791551133,10.98749713581257,10.88809713581257
933.8680566158353,2.9798255519945527,6821.33308684258,13.065671598964427,12.966271598964427
949.0704243711149,1.574036024212375,6677.191642553932,13.088860137945128,12.989460137945128
1031.811016409085,9.766994667590062,8891.176393599077,12.777946674830881,12.678546674830882
270.9671719291073,5.383191595720728,-969.0948192683088,,
701.2459087595372,6.394649711992293,8482.615881528547,12.829020237566185,12.729620237566186
1069.3657352668936,3.450355437175009,2170.5966391431666,14.308896925188362,14.209496925188363
78.13099489656571,9.557157015587848,9388.403870839864,12.718865331191504,12.619465331191504
571.8141945102113,10.768409479580528,62217.28287404449,10.665567138597787,10.566167138597788
137.43675838873608,6.6940757313617185,-72.19575622915596,,
418.1804905633352,5.1707365333613495,-1497.5808071675474,,
169.1106611302125,9.716559070218038,4892.5400423240735,13.426508768847576,13.327108768847577
354.9832390235971,20.81768634793522,249324.52635780614,9.158432234060344,9.059032234060345
475.3565082582357,10.924324868743074,9935.446907950725,12.657376223378803,12.557976223378803
948.8920618564114,6.836829236414028,6548.117940776006,13.110053508112637,13.010653508112638
986.0651899030304,13.248628585208188,58017.962785155105,10.741438552951381,10.642038552951382
1009.2526456102183,12.053722860995377,9895.001935572158,12.661805032030234,12.562405032030235
68.78749177595164,12.257604186441469,9438.236982880755,12.713117546366796,12.613717546366797
620.982669498895,13.461007488798636,36516.91669820858,11.2441094887581,11.144709488758101
584.25757775501,17.587990160819373,62488.47268507062,10.66084496584778,10.56144496584778
771.2563136647475,13.89354739100117,3365.7182903871867,13.832650333661043,13.733250333661044
913.4391884597499,15.238091637293035,2908.820367975626,13.99105248440708,13.89165248440708
141.76411170672935,17.72596119554721,7.729593296694588,20.429953131990644,20.330553131990644
9.754737166739183,20.176071751107383,724.3632391885942,15.500453735443804,15.401053735443805
531.6083532958239,21.38640177175223,-842.8648916545534,,
855.2049706391404,22.360729851049204,28133.365645120117,11.527290514010826,11.427890514010826
1055.3641438991426,18.58414802855337,42363.13068836631,11.082874621950658,10.98347462195066
41.52663275354883,19.553372112471774,1260.5898124830358,14.89891025818805,14.79951025818805
89.37106179718347,27.41896683082783,5123.4437067404115,13.376439818750477,13.277039818750477
773.1361426020347,21.866169634448283,1750.6462450866327,14.54234874924369,14.44294874924369
55.53402663860253,23.068594046686545,3145.275982683773,13.906197844059125,13.806797844059126
508.3282167807461,22.691979830678317,5911.445736532534,13.22111047231574,13.12171047231574
1045.6226320955213,28.535527406555886,44444.77360140954,11.030792995079755,10.931392995079756
217.13288500165453,25.444267598126608,5073.5858635851355,13.38705720421825,13.28765720421825
1019.4186584438944,24.721631747957826,8264.150085937941,12.857349251162116,12.757949251162117
491.6357838568511,32.179971130397796,11782.823426019973,12.472221316971568,12.372821316971569
841.3916524152793,31.55186463963915,34336.14295146651,11.31096596980499,11.21156596980499
1060.824112819738,26.798255982449465,42105.45941087119,11.089498715057005,10.990098715057005
9.985227113333934,28.802172869151125,1047.4598736287178,15.100001253547006,15.000601253547007
896.9418045873896,29.244879779559724,2642.953664209801,14.095120867704857,13.995720867704858
45.04996638335163,29.82332667783281,898.006979087299,15.267145460995055,15.167745460995055
645.7108155908169,37.515356187804855,13794.281924993145,12.301096996332706,12.201696996332707
339.4190088487753,33.17728648449102,157078.8401716604,9.660050526029892,9.560650526029892
401.0897848054747,34.20961903924362,8979.696018606006,12.767190652907574,12.667790652907575
1003.8429263257702,34.521323026615676,2540.3731463994272,14.13810095756519,14.03870095756519
1062.248978425653,30.424001006608602,38996.32934075338,11.172785416925208,11.073385416925209
204.64166747947488,35.44458675834902,5033.057282784081,13.395765057605084,13.296365057605085
317.92722636739967,38.63070385826734,33457.0081101371,11.339126986721364,11.239726986721365
673.4784869418511,37.107589289128484,10120.32884321855,12.637358179747295,12.537958179747296
288.2284491956651,39.04621033917559,64720.1828715573,10.622745401427299,10.5233454014273
477.48035237941457,34.85011756774168,13088.665916495926,12.35810628417575,12.258706284175751
705.6292056834375,38.45189846851693,15610.918891536912,12.166773572513533,12.067373572513533
125.05522605602668,36.43005534384903,3963.2260021544203,13.65522264428186,13.55582264428186
59.977692541622154,36.868928720881314,-300.478159700746,,
142.09956096677692,36.39587872270948,5258.903852691378,13.348106663814225,13.248706663814225
151.76783209016068,39.39379669644553,2331.4153872317756,14.231295594600176,14.131895594600177
730.6922197187405,36.88102887248509,-761.8358272748046,,
767.2728842116895,42.489044032954,4775.287128035365,13.452846015957219,13.35344601595722
444.5363436826624,39.71073977320188,3477.902432636635,13.797051254883574,13.697651254883574
598.3005768594369,39.803887389391726,2510.2609789195467,14.151047552790176,14.051647552790177
688.0286540447063,42.8606388609221,21402.810609639844,11.824167719532355,11.724767719532355
1036.1784220452282,39.748695073505466,39974.335035352036,11.145891620565639,11.04649162056564
848.0807180352796,43.447544173583786,34386.57273838665,11.309372509629974,11.209972509629974
865.4847300378897,42.4432895908319,6843.141762409689,13.062205898451625,12.962805898451625
920.1887496629953,42.864815076045154,1072.1558509810563,15.074699940852685,14.975299940852686
1075.412122781902,40.84435733636693,694.152066164809,15.546708189047777,15.447308189047778
86.01912777901768,41.62217676264829,1978.4877968444628,14.409511300977218,14.31011130097722
120.9532539402566,44.523499071173966,3894.623344227207,13.674181084099562,13.574781084099563
875.8157390507341,44.44470168249325,23174.973335280294,11.737796632955407,11.638396632955407
346.7932548940829,48.05840645085211,37538.08973727224,11.21416432029945,11.11476432029945
433.1871483757684,46.49040465904363,3174.3393338120095,13.89621136436454,13.79681136436454
789.3166207700161,49.52772645405452,2278.316229338462,14.256309731220629,14.15690973122063
968.4857740708308,48.81776302008658,2361.862206441423,14.217208348734369,14.11780834873437
415.86730303340516,48.94473482317504,4819.013557256003,13.442949370526218,13.343549370526219
994.9361537966827,49.152167289008624,2254.9076011047155,14.267522864315998,14.168122864315999
540.5544638572184,54.77841643007371,9136.089179710489,12.748443915312524,12.649043915312525
817.8044218828754,49.63581308891215,-1917.1895675597762,,
575.1966917584778,54.35312996349889,15530.835768430494,12.172357672623537,12.072957672623538
448.26048703420486,54.963794281395316,2673.1302325158517,14.082794446490897,13.983394446490898
591.2608701203513,59.531402758962045,20537.331433410378,11.868984711144433,11.769584711144434
316.53240603077984,56.43986981864076,29878.642114952992,11.461942599893138,11.362542599893139
718.3048443962201,54.218909378592464,2635.310496396288,14.098265261225853,13.998865261225854
212.21885672911793,56.40233715663903,1118.0634496772382,15.02917861502561,14.929778615025612
522.6880184239332,56.06930686197289,8386.871774154937,12.841344732784323,12.741944732784324
880.1530665326121,58.994785958446364,23406.967253586914,11.726981871878609,11.62758187187861
301.44874068771855,57.23416447164314,12950.164015663242,12.369656568635122,12.270256568635123
653.8630682413832,64.08654172630823,22512.184422424398,11.769300646028384,11.669900646028385
683.2854940137743,54.92045083747192,15282.532494832813,12.189856421040005,12.090456421040006
129.2242457166049,57.011137924850715,3695.9097805582333,13.731041337566419,13.63164133756642
257.0351669237009,58.80849312853796,-66.62213640603397,,
687.2109080006727,60.778775271135466,12874.592287627069,12.376011029016807,12.276611029016808
411.2020610011057,60.045501617348705,2462.910906877466,14.171722985786209,14.07232298578621
473.19764861237695,61.74244546424498,1647.664391931977,14.608172850361647,14.508772850361648
