x,y,raw_flux,blue_mag,B_mag
239.4428560946664,2.83259058998243,16316.204950754704,12.283603425006637,12.805953425006637
632.0090308220152,1.1644603272773832,15558.271822731669,12.335247917594604,12.857597917594603
764.9319693664185,2.125213187829765,1208.3084249695362,15.109706795761838,15.632056795761837
792.8484116257231,1.5919162297780989,70127.84920064383,10.700425006265299,11.222775006265298
932.9502706492214,3.125853281153668,4688.7269623673665,13.637513946586509,14.159863946586508
948.0204173152517,2.022843727665861,3266.2396051602627,14.030031203352888,14.552381203352887
1031.4580561309604,9.461207644724432,4864.37135178031,13.59758449963727,14.119934499637269
270.6999222963067,6.023443542217765,245.5177869393412,16.839943902891118,17.362293902891118
701.2362763025168,6.391739909145761,3838.0431926461133,13.854876660083784,14.377226660083783
1069.6906084599511,3.1796928893230723,824.9237278589061,15.524116815580992,16.04646681558099
77.78763941777306,9.489549906342772,8569.553207753772,12.98275585575935,13.50510585575935
571.8118512925346,10.571112372285445,36627.721686731755,11.405626540905649,11.927976540905648
137.173662933681,6.179233691470785,-622.3351997907523,,
418.0528510611592,4.92909872322819,-2273.6083013888783,,
169.19733631977624,9.626259481079526,6476.828341309637,13.286745337635917,13.809095337635917
355.3583004972499,21.362110499550923,152080.81239310873,9.859965245330185,10.382315245330185
475.37337125581433,11.008732165627897,7119.015831234678,13.184101408030298,13.706451408030297
949.3038276428246,6.8632588160054855,2247.1544286914545,14.43606900737876,14.95841900737876
985.9103870393034,13.240316554807102,38115.01834968125,11.362410971860346,11.884760971860345
1009.3728303925843,11.87980464482381,6171.696125080485,13.33913996827512,13.86148996827512
68.66280682557601,12.737917653348696,6557.583611201984,13.273291713116873,13.795641713116872
620.7708431572627,13.43713814603226,14476.89901628103,12.413462442364427,12.935812442364426
584.1805625544179,17.590871304276963,36472.15252445457,11.410247816349736,11.932597816349736
770.9846564070241,14.207282810036737,2360.944168515173,14.382437012263534,14.904787012263533
914.0141105457687,15.405769826984418,4078.8861940670686,13.788797334488523,14.311147334488522
141.39795443303126,17.893862114466636,-204.84477373995503,,
9.376841062444397,20.423514825880844,-1626.550311285851,,
531.4347366706222,21.38986214712637,-1767.998457004791,,
855.2120184655913,22.505965798414685,13228.163552213071,12.511402415166831,13.03375241516683
1055.2917595497254,19.788896415891404,30057.883781213586,11.620255302534602,12.142605302534601
41.704958191056306,20.572300610583,-1012.7686822651998,,
89.43574379981631,26.93770720343199,3995.52467302099,13.811216762704229,14.333566762704228
773.1816775414025,21.351039406942753,501.7667459170211,16.0638966160674,16.5862466160674
55.81561549305361,23.57271216186419,2593.3304828736027,14.280506642542116,14.802856642542116
508.2327579593934,22.664896705034803,5053.20478328571,13.55623405841931,14.07858405841931
1045.6150357302959,28.657790818382182,31233.07961839567,11.578614284109811,12.10096428410981
216.78897350430435,25.396146492408185,2146.235017621506,14.485958113659272,15.008308113659272
1019.056483337941,24.406511796929827,6437.419518369097,13.293371773667428,13.815721773667427
