x,y,raw_flux,green_mag,V_mag
239.40679808373358,2.9406144299334014,20252.39257254621,12.203058554565398,12.252208554565398
632.0650576165172,1.2675086313018795,38159.284589127434,11.515248837604648,11.564398837604648
764.9867258475023,2.2474478403133715,1094.317453478717,15.371391082667948,15.420541082667947
792.719632563153,1.9966076749846675,76842.88304751829,10.755240270792237,10.804390270792236
933.546817567662,3.448361881679689,6858.117510974699,13.37873709173363,13.427887091733629
949.2643953676854,1.2014395264266602,5125.824259018912,13.694840117127159,13.743990117127158
1031.2651453380827,9.483925514578033,11088.153980594367,12.85710127664207,12.906251276642069
270.9142394771953,5.4609782658270145,-345.5837845794922,,
701.2670482137827,6.413905909750036,8377.123916740084,13.1615120482402,13.210662048240199
1070.0203275438066,3.475574107976759,-2956.883253245052,,
77.89523784446575,9.394762410233575,11414.705923956975,12.825587579274353,12.874737579274353
571.7941407328389,10.616284177510378,69021.64237581467,10.871786174595199,10.920936174595198
137.66057597806068,6.612677898848319,400.06153545285736,16.46393240382988,16.51308240382988
418.3161078206513,5.062248564038876,-738.7398483593976,,
169.07251971963044,9.73573714939794,7687.246429122145,13.254822388931736,13.303972388931735
355.0984127658801,20.965460755811016,290082.09096746694,9.312947104373979,9.362097104373978
475.3073426355399,10.822252084029984,12949.605742821112,12.688608031707687,12.737758031707687
949.0668326260874,6.7165794004498505,4804.968785484815,13.765022970709005,13.814172970709004
985.9423611454221,13.246202838877712,69129.3919123051,10.870092555765085,10.919242555765084
1009.4245269827597,11.903015716918427,12431.08612504679,12.732976709116606,12.782126709116605
68.55712465679916,12.31023877805644,10652.332456943746,12.900637616942767,12.949787616942766
621.1381540705574,13.549798614044324,34108.3914242486,11.637096301833912,11.686246301833911
584.1952929044432,17.57020251299447,69228.56171848738,10.86853612529464,10.917686125294638
771.1547021150215,14.057331909641572,3096.396388108714,14.242108017005632,14.291258017005632
913.3473920036399,15.08876616721819,2135.3613390252153,14.645570958714384,14.694720958714383
141.86052354931888,17.594509016426283,-21.88624766923681,,
9.732898872206187,20.009197981938087,-747.4088420129669,,
531.4977800009308,21.343193670156843,-1322.9917411782505,,
855.4822728261427,23.14655072429366,28641.317415648962,11.826766921592828,11.875916921592827
1055.0076726370983,20.232712490678086,49211.91108706763,11.23907382077518,11.28822382077518
41.43773334267504,21.020271503907896,-802.5711503610131,,
89.61040344862772,26.934930006109028,5865.112207419739,13.548558584566639,13.597708584566638
772.8723494631331,21.687015464742817,1181.968733965165,15.287734426176364,15.336884426176363
55.3007748851521,22.523232390082793,2970.7177797972363,14.287095908743126,14.336245908743125
508.25359722691627,22.542336433351082,6846.646917248878,13.380554567965575,13.429704567965574
1045.5968431066992,28.527684052723494,53315.84110398601,11.15210873504539,11.20125873504539
217.0383642919236,25.379001316354532,5954.666786716237,13.532105737227642,13.581255737227641
1018.9429465538834,25.192895293695663,8695.484649851891,13.121014915559446,13.170164915559445
491.71871625467406,32.23132288822218,16047.879185337872,12.455705282097878,12.504855282097877
841.318174782266,31.482898140645464,34827.414729422926,11.614446303522278,11.663596303522278
1061.4699510667488,26.562820751210662,45322.8468171395,11.328456445129522,11.377606445129521
10.537897380509317,28.20587261200033,-2806.9411785754623,,
896.3896491664616,29.267758512137927,239.10743612407612,17.022766690797674,17.071916690797675
44.41126876786567,29.806988027660687,-1047.9389785683552,,
645.6592723780989,37.470082508029485,16271.0521418213,12.440710305451447,12.489860305451446
339.49213948029325,32.96725114654515,187123.83414052875,9.788926628666212,9.838076628666212
401.0715381479818,34.17309352377556,7854.683768218645,13.231427635201612,13.280577635201611
1003.8062318131335,33.98991061146523,3407.1411467889016,14.138274084100917,14.187424084100916
1062.0448744215398,31.675657137268324,45456.37553579816,11.325262386731083,11.374412386731082
204.4356093196127,35.49662371648958,6332.247133156585,13.465354757366702,13.514504757366701
317.8264981676662,38.649460912748694,42727.050739668746,11.392492106440057,11.441642106440057
673.6159979523318,37.09140600150342,11673.984309841806,12.80120163429921,12.850351634299209
288.1613834922289,39.039134331341,84589.39657701358,10.65095958020656,10.70010958020656
477.65269841650667,34.988767288756165,16778.20363681765,12.407385744679896,12.456535744679895
705.6017340586329,38.36679190157038,16639.625950425085,12.416390499063443,12.465540499063442
125.07696773866745,36.15505920043806,1778.1947494110275,14.844301088619954,14.893451088619953
59.284379293010865,37.2693637277162,-1310.3079338007553,,
142.52005999201523,36.29292180974651,3164.2755789115827,14.21856364878987,14.267713648789869
151.73152801519768,39.27681898151178,1280.5218650857619,15.200781901212611,15.24993190121261
730.797174726707,36.75339344904087,-1820.063701786656,,
767.2660849444796,42.28731180130255,3942.154475211547,13.97991530169057,14.029065301690569
444.48936223331714,39.53892195013136,3862.3421099384805,14.002122549684412,14.05127254968441
598.5295083042782,40.003845965602416,1691.0880468877508,14.898833847905024,14.947983847905023
687.9956904000567,42.907258395057255,23154.952093804826,12.057639680471441,12.10678968047144
1037.6124367155628,39.2100260171418,49343.724560655006,11.236169578010335,11.285319578010334
848.3993305187264,43.2328268192179,34554.67130939975,11.62298248189354,11.67213248189354
865.5554286475507,42.270524389374074,10051.254501699872,12.96369872339207,13.01284872339207
920.1730681778373,42.784702386401364,2653.7011416797204,14.409619369266952,14.458769369266951
1076.4440931358224,40.92046393750873,899.480605416187,15.584269888643231,15.63341988864323
86.26648596329186,42.088537088245566,807.3712044169938,15.701566257808034,15.750716257808033
120.98884017657079,44.50046357351155,1112.3842003651323,15.353612368028994,15.402762368028993
875.5593198687019,44.440983525515115,30860.167260854756,11.745753708496057,11.794903708496056
346.49633379985136,47.903473573918795,45184.58176163752,11.331773730699332,11.380923730699331
433.23802434456377,46.329807796320715,3031.0630068482196,14.265261987073211,14.31441198707321
789.5252065745688,49.177090616979264,159.68801050786192,17.461068621934807,17.510218621934808
968.2283694051463,49.00695867894319,4176.987688357032,13.91709140950862,13.96624140950862
415.96664124598885,48.83921599881277,4896.712800111245,13.744487815695024,13.793637815695023
994.995760070207,48.90589196671917,3185.545478128487,14.211289873413474,14.260439873413473
540.6521365967327,54.86330025828677,11936.04530976246,12.777098250643462,12.826248250643461
818.1108244347544,49.63620974021674,-867.1495560261499,,
575.1049740222268,54.341589771054956,19851.62063231694,12.22475947955914,12.273909479559139
448.278259061741,54.6710455591689,3157.440851982163,14.220911338202816,14.270061338202815
590.466092799765,60.30487516767873,24448.026513833443,11.998639877757753,12.047789877757753
316.69492700933637,56.193211124267165,37481.11496270964,11.534718143714274,11.583868143714273
718.2100936499514,54.21326691613244,3708.0422467280455,14.046387713638214,14.095537713638214
