ra,dec,x_v,y_v,B_mag,V_mag,R_mag,B-V,V-R,BV_0,V_0,MV,Mass
122.6257610792076,-48.455339031738525,56.88300974947605,2.218945861129181,14.385210335317542,13.657626200855775,13.1067397056211,0.7275841344617664,0.5508864952346748,0.6675841344617663,13.471626200855775,5.221626200855775,0.9041573838866901
122.47056781958598,-48.503283024138895,229.19481832282943,0.9529506424099196,10.271141009370284,9.7871354025911,9.60389481706376,0.4840056067791849,0.18324058552734,0.4240056067791849,9.6011354025911,1.3511354025910993,2.6945255796981913
122.4415749774108,-48.51214482930989,261.3100606511762,0.6315179270844277,14.391035352092354,13.671494623604737,13.302298482695829,0.7195407284876172,0.3691961409089082,0.6595407284876171,13.485494623604737,5.235494623604737,0.9008478739125061
122.29422404333611,-48.55816130880259,425.095855213448,0.561906259688695,14.847908395755995,14.189017163575972,13.840731817335897,0.6588912321800233,0.3482853462400754,0.5988912321800233,14.003017163575972,5.753017163575972,0.7854556716934882
122.27779617116803,-48.563364985995385,443.39624819529496,0.677956090894653,14.89658014010067,14.404414099399409,13.984901689306422,0.492166040701262,0.4195124100929863,0.432166040701262,14.218414099399409,5.968414099399409,0.7669930771943364
122.23806554274589,-48.57545100580154,487.32728613368545,0.2918785339030813,16.24900957997757,16.045034564702465,16.48965701161458,0.2039750152751054,-0.4446224469121134,0.1439750152751054,15.859034564702466,7.6090345647024655,0.6247524831375586
121.9638217319906,-48.66133562904293,791.92325760133,1.7424104788450492,14.462628998269254,13.664440899315606,13.153247883963877,0.7981880989536485,0.5111930153517292,0.7381880989536485,13.478440899315606,5.228440899315606,0.9025311490269577
122.54413915949212,-48.48339494590829,149.37311268079512,5.398407662343293,16.043507829645378,14.924556275178414,14.159118498490052,1.118951554466964,0.765437776688362,1.0589515544669639,14.738556275178414,6.488556275178414,0.7224094621275645
121.85201998707892,-48.69725696150354,916.5632017486168,3.953901138290637,16.884929921810684,15.994227736068174,15.693976793981026,0.8907021857425104,0.300250942087148,0.8307021857425103,15.808227736068174,7.558227736068174,0.629268645682829
122.0682776579443,-48.63268824265566,678.5656857300405,6.631560784189234,15.049715764969374,13.977730626261604,13.414889708301748,1.0719851387077703,0.5628409179598552,1.0119851387077703,13.791730626261604,5.541730626261604,0.8277688278239356
121.96100116080385,-48.66675020762048,797.9562453729554,8.002875962807739,14.248714526062258,13.111904626138784,12.465189251109166,1.136809899923474,0.6467153750296184,1.0768098999234739,12.925904626138784,4.675904626138784,1.060541726064282
122.52027175008304,-48.49103717922678,176.04490491706423,5.579648493991489,17.513161787661197,16.32177919103465,15.49495247370998,1.1913825966265463,0.8268267173246713,1.1313825966265463,16.13577919103465,7.885779191034651,0.6001529607969199
